Rank,City,Country,Gross metropolitan product (in billions EUR)[2][3],Year
1,Paris metropolitan area,France,764.8,2021
2,Madrid Metropolitan Area,Spain,218.5,2020
3,Berlin Metropolitan Region,Germany,205.1,2020
4,Milan metropolitan area,Italy,204.5,2020
5,Munich Metropolitan Region,Germany,200.4,2020
6,Greater Dublin Area,Ireland,187.6,2020
7,Amsterdam metropolitan area,Netherlands,184.4,2020
8,Brussels Capital Region,Belgium,177.7,2021
9,Ruhr Area,Germany,169.7,2020
10,Hamburg Metropolitan Region,Germany,163.8,2020
11,Barcelona metropolitan area,Spain,159.8,2020
12,Stockholm metropolitan area,Sweden,154.0,2020
13,Rome metropolitan area,Italy,153.5,2020
14,Greater Copenhagen,Denmark,152.0,2021
15,Frankfurt/Rhine-Main,Germany,151.2,2020
16,Stuttgart Metropolitan Region,Germany,148.2,2020
17,Vienna metropolitan area,Austria,130.0,2020
18,Aix-Marseille-Provence Metropolis,France,114.2,2021
19,Metropolitan Cork,Ireland,103.2,2020
20,Warsaw metropolitan area,Poland,100.3,2021
21,Lyon metropolitan area,France,98.4,2021
22,Cologne Bonn Region,Germany,95.3,2020
23,Greater Helsinki,Finland,94.2,2020
24,Prague metropolitan area,Czechia,92.3,2021
25,Düsseldorf metropolitan area,Germany,89.0,2020
26,Rotterdam metropolitan area,Netherlands,86.6,2020
27,European Metropolis of Lille,France,86.1,2021
28,Gothenburg metropolitan area,Sweden,79.1,2020
29,Utrecht metropolitan area,Netherlands,77.0,2020
30,Lisbon metropolitan area,Portugal,76.4,2021
31,Athens Metropolitan Area,Greece,75.1,2020
32,Budapest metropolitan area,Hungary,73.5,2021
33,Luxembourg metropolitan area,Luxembourg,72.3,2021
34,Turin metropolitan area,Italy,68.5,2020
35,Nuremberg Metropolitan Region,Germany,66.9,2020
36,Bordeaux metropolitan area,France,62.4,2021
37,Bucharest Metropolitan Area,Romania,61.0,2020
38,Hanover metropolitan area,Germany,58.4,2020
39,Toulouse Métropole,France,57.3,2020
40,Hannover–Braunschweig–Göttingen–Wolfsburg Metropolitan Region,Germany,57.3,2020
41,Valencia metropolitan area,Spain,56.4,2020
42,Malmö metropolitan area,Sweden,56.4,2019
43,Naples metropolitan area,Italy,56.3,2020
44,Antwerp metropolitan area,Belgium,55.9,2021
45,Nantes metropolitan area,France,55.3,2021
46,Rhine-Neckar,Germany,53.6,2020
